Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Afghanistan,AFG,83.0798576558264,97.8489355243562,70.7626396343786,69.5786264163716,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Albania,ALB,18.0510824834496,17.3672455748525,17.8285791965924,15.2155347268185,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Algeria,DZA,17.4649017678272,23.1559036779135,22.9950972361017,17.4585468301866,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,American Samoa,ASM,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Andorra,AND,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Angola,AGO,31.2028619309189,32.1395553943672,28.206366031525,32.0452547863354,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Antigua and Barbuda,ATG,17.3747603432188,13.4115155146706,13.630147365931,14.4113666654104,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Argentina,ARG,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Armenia,ARM,22.3179019257377,19.7189469074122,19.5642684788095,18.8138257979365,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Aruba,ABW,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Australia,AUS,0.952285065168957,1.01550120564958,1.02149048044685,1.49022465606826,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Austria,AUT,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Azerbaijan,AZE,37.9371564937739,30.5296015154605,26.577829127815,23.4082346879653,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Bahamas, The",BHS,6.72346405224422,7.57487229359141,6.76343517299464,9.79407051989906,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bahrain,BHR,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bangladesh,BGD,14.7281749980364,11.4701873653853,9.00774847807946,8.87249782777772,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Barbados,BRB,18.2100721223712,16.756696688164,21.8126405194031,25.9584451860193,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Belarus,BLR,19.2249804347381,17.1462661791106,12.419320154541,14.7109027905864,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Belgium,BEL,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Belize,BLZ,31.1551563951688,24.5781250982227,19.4646275546063,19.6998552323874,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Benin,BEN,5.33194922206956,6.99523482499891,4.49027867677588,4.60683643096914,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bermuda,BMU,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bhutan,BTN,32.074291317834,26.238574423808,18.8191265009846,19.8778887135407,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bolivia,BOL,17.2231820120017,17.7957981617809,16.1381064911292,16.6701938646442,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bosnia and Herzegovina,BIH,25.3163383952229,27.3999999328393,27.5275524969916,26.8207341069892,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Botswana,BWA,20.9825708281479,14.8862430271011,17.7922425515915,18.8234927909258,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Brazil,BRA,29.5611446382343,32.4167540285049,30.7961591280424,26.0913622534165,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,British Virgin Islands,VGB,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Brunei Darussalam,BRN,12.8896109516607,10.739632445339,9.87598328091787,14.2798923142415,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Bulgaria,BGR,24.5837625945473,22.4247291584596,22.3865386128316,18.1108942342993,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Burkina Faso,BFA,4.91787775243263,4.96878025877494,5.75131117312552,5.40678407077115,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Burundi,BDI,18.4202787997936,26.9099724935499,19.173431693381,21.8331067132261,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Cabo Verde,CPV,37.113973093971,34.6029718403236,35.9043059591088,43.7766789523456,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Cambodia,KHM,28.3238309733552,30.7209355800854,29.5095206581832,29.6210375543036,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Cameroon,CMR,17.7238418756586,18.8311262531094,20.6182625496265,22.789630662093,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Canada,CAN,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Cayman Islands,CYM,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Central African Republic,CAF,13.7650907617035,21.8894135433899,24.4546854120409,19.7805652631531,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Chad,TCD,7.52663852030559,11.2277548540617,14.5955998776253,26.8938971178324,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Channel Islands,CHI,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Chile,CHL,10.770985145317,10.4657478279834,9.78846585544503,10.9763221841152,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,China,CHN,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Colombia,COL,6.20397032837962,5.69740435489455,6.08742725410226,6.34795300318725,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Comoros,COM,34.9113783261298,34.8615485048432,42.2499211808747,40.4056285061792,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Congo, Dem. Rep.",COD,10.8332024336693,8.48490764033419,11.7497012545059,16.2609712679392,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Congo, Rep.",COG,16.9862776172038,13.5664546476701,17.1421260987741,18.6068304640096,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Costa Rica,CRI,19.5716838394387,19.3074727424909,20.1780688526192,21.2197968081133,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Cote d'Ivoire,CIV,10.7562861276641,8.49253784184795,10.3242943315724,14.0607650012398,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Croatia,HRV,20.1631198815837,26.435363955968,28.4471653114496,30.6380295301813,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Cuba,CUB,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Curacao,CUW,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Cyprus,CYP,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Czech Republic,CZE,37.2655115725964,63.7657106999268,60.7661935687309,61.2145683958122,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Denmark,DNK,3.67533294252394,3.52588081069706,3.97288298105847,3.82427588355921,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Djibouti,DJI,8.31643079544968,13.7511494122803,8.88546212912601,10.9470916139486,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Dominica,DMA,29.8264075655785,20.743754863794,16.9617464019691,19.1651180259097,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Dominican Republic,DOM,34.8149060897444,33.7808615486433,31.4294722688392,34.996273946865,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Ecuador,ECU,12.5963779358554,8.95048637131628,6.6669747412227,6.58336635701208,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Egypt, Arab Rep.",EGY,40.4634435641175,50.1146859513116,52.0176269964054,49.4407828459412,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,El Salvador,SLV,21.0542882872515,22.8544403330754,22.3699395375955,24.5938407355717,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Equatorial Guinea,GNQ,16.5504555794751,12.8684966696239,18.2552709926219,8.98633505372488,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Eritrea,ERI,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Estonia,EST,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Eswatini,SWZ,12.8609895195916,11.7304182650718,14.2719063421346,21.3327582319915,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Ethiopia,ETH,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Faroe Islands,FRO,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Fiji,FJI,16.577789644232,18.6236280704522,15.5303630031585,18.042445288649,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Finland,FIN,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,France,FRA,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,French Polynesia,PYF,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Gabon,GAB,21.3370520685153,15.604434021126,23.8276276101807,26.109678460863,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Gambia, The",GMB,..,44.3198985504089,40.5660909796698,35.1527672566689,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Georgia,GEO,18.2552551364103,15.8545925495024,16.6055469086953,15.5376640525162,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Germany,DEU,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Ghana,GHA,33.908661702085,35.6061666652668,34.693529791013,38.6885456560516,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Gibraltar,GIB,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Greece,GRC,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Greenland,GRL,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Grenada,GRD,12.9147494074519,11.3632609393861,11.8446519046245,11.7672366522975,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Guam,GUM,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Guatemala,GTM,23.3629917950814,26.8314389298075,25.1784434203386,26.323772431678,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Guinea,GIN,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Guinea-Bissau,GNB,8.32344521428868,7.06756839090965,8.80271440526871,10.8503468934217,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Guyana,GUY,22.2856800175968,20.2676571628452,22.9931663178387,22.8444737780833,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Haiti,HTI,73.7865822426597,80.4211810738487,73.5059339897294,78.6320436523643,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Honduras,HND,27.4024573061287,29.4035315017578,24.582280147276,24.7800244171129,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Hong Kong SAR, China",HKG,7.34048272128673,6.35904757659782,5.86615441452845,6.10666109532574,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Hungary,HUN,13.4676861727509,10.7800443842325,8.29273820714737,10.4743859212457,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Iceland,ISL,14.2870503811843,12.8943944887434,8.90003136231048,9.83248924157101,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,India,IND,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Indonesia,IDN,20.1419273530563,20.634741732254,17.7079587353024,18.1250695750376,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Iraq,IRQ,83.0844839802178,80.8553955331612,81.3521932673669,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Ireland,IRL,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Isle of Man,IMN,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Israel,ISR,26.4674666154217,26.9065227167957,24.1326053960071,23.7719800301168,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Italy,ITA,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Jamaica,JAM,34.3626313648169,26.5405670284606,23.9403729529715,19.737595940951,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Japan,JPN,29.4799980040377,31.5356565562044,32.7158234214886,32.3671762373352,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Jordan,JOR,25.3491409642606,23.0203643755935,19.4322275531186,20.2637575007869,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Kazakhstan,KAZ,26.3473766400132,28.7858506033421,33.0584020112047,30.4911846862843,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Kenya,KEN,7.3567268005286,7.28015100467866,9.45086412797515,10.3419807064065,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Kiribati,KIR,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,"Korea, Rep.",KOR,6.41403302782525,6.1378399917439,5.50957383438758,5.16720440758824,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Kosovo,XKX,9.8406838640751,10.3699378910242,9.97231562509984,10.6600888153446,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Kuwait,KWT,10.0596986631897,10.0012526062009,11.7072402996326,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Kyrgyz Republic,KGZ,24.3731896383538,19.7347219747456,18.8861313441321,19.0113030823187,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Lao PDR,LAO,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Latvia,LVA,..,..,..,..,..
